Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Status of Case,Latitude/Longitude
727943,2303,4901,,S,BROADWAY,,,90037,07/18/0016,,111A203   239,VEIP,South Los Angeles,O,"(33.9981, -118.27853)"
717325,2303,750,,E,SLAUSON,AVE,,90001,04/23/0016,,108B205  1507,VEIP,South Los Angeles,O,"(33.98908, -118.26204)"
779315,1111,1552,,W,59TH,PL,,90047,07/27/0017,,105B193   289,GENERAL,South Los Angeles,O,"(33.9866, -118.30428)"
725504,2303,8902,,S,AVALON,BLVD,,90002,07/02/0016,,096A207   234,VEIP,South Los Angeles,O,"(33.95544, -118.26497)"
883971,2304,,,,,,,,10/20/0019,,150B213   943,VEIP,East Los Angeles,O,
840847,2122,308,,N,SAN PASCUAL,AVE,,90042,01/10/0019,,153A233    63,GENERAL,East Los Angeles,O,
939399,3113,19101,,W,SARITA,PL,,91356,11/14/0021,,165B121   164,GENERAL,South Valley,O,"(34.15091, -118.54924)"
938858,2203,2555,,N,BENEDICT CANYON,DR,,90210,11/10/0021,,153B153    11,CITATIONS,West Los Angeles,O,"(34.11847, -118.436)"
938863,2122,1800,,W,COLORADO,BLVD,,90041,11/10/0021,,162A225   123,GENERAL,East Los Angeles,O,"(34.13915, -118.20636)"
939249,3143,6811,,N,CHISHOLM,AVE,,91406,11/12/0021,,183B145   742,GENERAL,South Valley,O,"(34.19443, -118.47177)"
939201,3113,19222,,W,ROSCOE,BLVD,,91324,11/11/0021,,192B117   777,GENERAL,South Valley,O,"(34.22032, -118.55212)"
938960,1132,3831,,S,WESTSIDE,AVE,,90008,11/11/0021,,117B185   697,GENERAL,South Los Angeles,O,"(34.01647, -118.32723)"
938981,3102,6229,,N,AUCKLAND,AVE,,91606,11/11/0021,,177B177   202,GENERAL,South Valley,O,"(34.18385, -118.36062)"
938867,4400,1918,,W,SUNSET,BLVD,,90026,11/10/0021,,139-5A207  82,NAR,East Los Angeles,O,"(34.07781, -118.26133)"
938934,2103,4161,,N,WESLIN,AVE,,91423,11/11/0021,,162B157   217,GENERAL,South Valley,O,"(34.14259, -118.4321)"
939205,1102,8133,,S,ZITOLA,TER,,90293,11/11/0021,,096B153   336,GENERAL,West Los Angeles,O,"(33.96066, -118.44426)"
873317,3131,20845,,,PRAIRIE,ST,,91311,08/02/0019,,198B109    76,GENERAL,North Valley,O,
775983,1122,1730,,E,WASHINGTON,BLVD,,90058,07/01/0017,,118-5A213  51,GENERAL,South Los Angeles,O,"(34.02022, -118.24171)"
883615,2301,816,,N,WAINWRIGHT,AVE,,90744,10/18/0019,,033B213   985,VEIP,Harbor,O,"(33.78213, -118.23529)"
883550,2103,4426,,N,STANSBURY,AVE,,91423,10/18/0019,,165B153   196,GENERAL,South Valley,O,"(34.1513, -118.44092)"
883613,2121,643,,S,SOTO,ST,,90023,10/18/0019,,124-5A221  96,GENERAL,East Los Angeles,O,"(34.03639, -118.21463)"
883611,2100,2134,,W,SUNSET,BLVD,,90026,10/18/0019,,139-5A207 120,NAR,East Los Angeles,O,"(34.07723, -118.26485)"
883612,2130,650,,W,ROMULO,ST,,90065,10/18/0019,,144A219   145,GENERAL,East Los Angeles,O,"(34.08988, -118.22219)"
939492,3204,23353,,W,GILMORE,ST,,91307,11/14/0021,,180B093   738,CITATIONS,South Valley,O,"(34.18748, -118.63637)"
939371,2102,655,,N,ROSSMORE,AVE,,90004,11/12/0021,,141B185   617,GENERAL,Central,O,"(34.08313, -118.3268)"
939111,3142,8058,,N,TYRONE,AVE,,91402,11/11/0021,,189B153   176,GENERAL,North Valley,O,"(34.21774, -118.44316)"
939383,8137,927,,S,CENTRE,ST,,90731,11/14/0021,,015B201   433,PACE,Harbor,O,"(33.73547, -118.28368)"
939255,1143,1647,,W,215TH,ST,,90501,11/12/0021,,051B193   686,GENERAL,Harbor,O,"(33.83359, -118.3081)"
939437,1103,12714,,W,WALSH,AVE,,90066,11/14/0021,,108B157  1740,GENERAL,West Los Angeles,O,"(33.98795, -118.42762)"
938832,3123,10119,,N,MT GLEASON,AVE,,91040,11/10/0021,,204B193  1223,GENERAL,North Valley,O,"(34.25296, -118.30281)"
939349,4105,1305,,N,SYCAMORE,AVE,,90028,11/12/0021,,144B181   110,CNAP,Central,O,"(34.09459, -118.34302)"
938859,2122,4763,,N,EAGLE ROCK,BLVD,,90041,11/10/0021,,160-5A221 383,GENERAL,East Los Angeles,O,"(34.13212, -118.21644)"
939254,3143,6803,,N,ALDEA,AVE,,91406,11/12/0021,,183B133   967,GENERAL,South Valley,O,"(34.19425, -118.5085)"
933787,3102,5659,,N,AUCKLAND,AVE,,91601,10/01/0021,,174B177   347,GENERAL,South Valley,O,"(34.17378, -118.3606)"
933853,3132,10404,,N,DE SOTO,AVE,,91311,10/02/0021,,204B109    44,GENERAL,North Valley,O,"(34.25907, -118.58833)"
939390,8137,1001,,S,CENTRE,ST,,90731,11/14/0021,,015B201   504,PACE,Harbor,O,"(33.73492, -118.28368)"
933090,8137,355,,W,11TH,ST,,90731,09/29/0021,,015B201   599,PACE,Harbor,O,"(33.73409, -118.28481)"
933109,3101,13948,,W,BESSEMER,ST,,91401,09/29/0021,,177B153   734,GENERAL,South Valley,O,"(34.18108, -118.43723)"
933573,1121,8724,,S,CENTRAL,AVE,,90002,10/01/0021,,096A209    47,GENERAL,South Los Angeles,O,"(33.95858, -118.2562)"
933498,8121,3338,,W,MADERA,AVE,,90039,09/30/0021,,153B209   807,PACE,East Los Angeles,O,"(34.11381, -118.25874)"
933310,3132,17129,,W,SUNDERLAND,DR,,91344,09/30/0021,,219B133   618,GENERAL,North Valley,O,"(34.29379, -118.50698)"
933972,3306,8632,,N,DARBY,AVE,,91325,10/02/0021,,195B125   961,VEIP,North Valley,O,"(34.22736, -118.53373)"
942295,1201,1867,,E,97TH,ST,,90002,12/10/0021,,093A215   359,CITATIONS,South Los Angeles,O,"(33.94829, -118.23903)"
933083,3113,18960,,W,KESWICK,ST,,91335,09/29/0021,,186B121    46,GENERAL,South Valley,O,
933843,3123,11472,,N,EHREN,AVE,,91342,10/02/0021,,213B177    80,GENERAL,North Valley,O,"(34.27871, -118.35871)"
933314,3131,8335,,N,WHITE OAK,AVE,,91325,09/30/0021,,192B129   264,GENERAL,North Valley,O,"(34.22221, -118.51901)"
933968,2102,1157,,N,ORANGE,DR,,90038,10/02/0021,,144B181   328,GENERAL,Central,O,"(34.09238, -118.3418)"
934044,3201,11679,,W,SHELDON,ST,,91352,10/04/0021,,201B169   117,CITATIONS,North Valley,O,"(34.2443, -118.3872)"
933849,3303,6651,,N,LANKERSHIM,BLVD,,91606,10/02/0021,,180B169   368,VEIP,South Valley,O,"(34.19168, -118.38798)"
933600,2142,766,,N,KENMORE,AVE,,90029,10/01/0021,,141B197   190,GENERAL,Central,O,"(34.08554, -118.29688)"
936725,1111,3127,,W,60TH,ST,,90043,10/24/0021,,105B185   318,GENERAL,South Los Angeles,O,"(33.98554, -118.3274)"
900034,3131,,,,,,,,06/28/0020,,183B097   889,GENERAL,South Valley,O,
939110,3142,8405,,N,BARDWELL,AVE,,91402,11/11/0021,,192B157   577,GENERAL,North Valley,O,"(34.22299, -118.43068)"
933854,2112,10304,,W,LA GRANGE,AVE,,90025,10/02/0021,,132B157   684,GENERAL,West Los Angeles,O,"(34.05693, -118.42075)"
933838,3201,11159,,N,RHODESIA,AVE,,91040,10/02/0021,,210B193   233,CITATIONS,North Valley,O,"(34.27231, -118.30789)"
933094,8137,362,,W,11TH,ST,,90731,09/29/0021,,015B201   561,PACE,Harbor,O,"(33.73433, -118.28486)"
938935,3123,11066,,N,HILLHAVEN,AVE,,91042,11/11/0021,,210B197   229,GENERAL,North Valley,O,"(34.27034, -118.28969)"
939491,2202,3301,,E,14TH,ST,,90023,11/14/0021,,118-5A225 337,CITATIONS,East Los Angeles,O,"(34.01727, -118.20835)"
928563,8121,3226,,W,ATWATER,AVE,,90039,08/26/0021,,153B209   885,PACE,East Los Angeles,O,"(34.11338, -118.25361)"
929271,2130,2800,,N,EVA,TER,,90031,08/28/0021,,141A227   423,GENERAL,East Los Angeles,O,"(34.07891, -118.20085)"
928896,1101,675,,N,MUSKINGUM,AVE,,90272,08/27/0021,,129B125   592,GENERAL,West Los Angeles,O,"(34.04709, -118.53718)"
928293,2103,1848,,N,CRESCENT HEIGHTS,BLVD,,90069,08/25/0021,,150A175   425,GENERAL,Central,O,"(34.10353, -118.36812)"
928818,2101,,,,,,,,08/27/0021,,156A189    28,GENERAL,Central,O,
929010,3111,23283,,W,ERWIN,ST,,91367,08/27/0021,,177B093   248,GENERAL,South Valley,O,"(34.18328, -118.63429)"
939284,3142,7741,,N,AGNES,AVE,,91605,11/12/0021,,189B165   972,GENERAL,North Valley,O,"(34.21144, -118.39556)"
929061,3101,11651,,W,RIVERSIDE,DR,,91601,08/28/0021,,168B169   407,GENERAL,South Valley,O,"(34.1578, -118.38729)"
928344,8131,1725,,S,CENTRE,ST,,90731,08/25/0021,,012B201   541,PACE,Harbor,O,"(33.7282, -118.28371)"
929292,2130,3114,,E,ARVIA,ST,,90065,08/29/0021,,147A217   264,GENERAL,East Los Angeles,O,"(34.09671, -118.22907)"
929466,3111,21051,,W,HEMMINGWAY,ST,,91304,08/29/0021,,189B105   255,GENERAL,South Valley,O,"(34.2145, -118.59252)"
928394,1133,2074,,W,29TH,ST,,90018,08/25/0021,,120B193    45,GENERAL,South Los Angeles,O,"(34.02899, -118.31114)"
867791,2143,119,,S,DILLON,ST,,90057,06/28/0019,,138A201   265,GENERAL,Central,O,"(34.07174, -118.28358)"
929470,8121,3423,,W,LARGA,AVE,,90039,08/29/0021,,153B209   376,PACE,East Los Angeles,O,"(34.11653, -118.25827)"
929465,3303,13149,,W,SHERMAN,WAY,,91605,08/29/0021,,183B157    36,VEIP,North Valley,O,"(34.20137, -118.41983)"
938862,2102,1227,,N,JUNE,ST,,90038,11/10/0021,,144B185   310,GENERAL,Central,O,"(34.09333, -118.33433)"
867802,2142,5151,,W,HOLLYWOOD,BLVD,,90027,06/28/0019,,148-5A195  88,GENERAL,Central,O,"(34.10192, -118.30232)"
938866,1101,838,,N,LAS CASAS,AVE,,90272,11/10/0021,,129B121   486,GENERAL,West Los Angeles,O,"(34.04939, -118.54094)"
850566,3143,16451,,W,VANOWEN,ST,,91406,03/17/0019,,183B137   464,NAR,South Valley,O,"(34.19403, -118.49217)"
867117,3303,6033,,N,VINELAND,AVE,,91606,06/26/0019,,177B173   984,VEIP,South Valley,O,"(34.18038, -118.37047)"
867812,3103,12760,,W,KAHLENBERG,LANE,,91607,06/29/0019,,171B161   901,GENERAL,South Valley,O,"(34.16233, -118.41148)"
920536,8126,8804,,N,CRANFORD,AVE,,91352,07/02/0021,,195B165   504,PACE,North Valley,O,"(34.22937, -118.40512)"
920964,1133,1811,,S,HARVARD,BLVD,,90006,07/03/0021,,126B193   739,GENERAL,South Los Angeles,O,"(34.04093, -118.30448)"
920663,3102,6019,,N,TUJUNGA,AVE,,91606,07/02/0021,,177B173  1066,GENERAL,South Valley,O,"(34.18004, -118.3792)"
921083,3303,13025,,W,VICTORY,BLVD,,91606,07/04/0021,,180B161   790,VEIP,South Valley,O,"(34.18799, -118.41664)"
920764,8125,10921,,W,SATICOY,ST,,91352,07/03/0021,,186B173   257,PACE,North Valley,O,"(34.20859, -118.36876)"
920247,3142,11847,,W,SHELDON,ST,,91352,06/30/0021,,198B169    49,GENERAL,North Valley,O,"(34.24116, -118.39152)"
920769,8125,10821,,W,SATICOY,ST,,91352,07/03/0021,,186B173   243,PACE,North Valley,O,"(34.20861, -118.36671)"
920286,8120,6313,,N,SATSUMA,AVE,,91606,06/30/0021,,177B173    79,PACE,South Valley,O,"(34.18536, -118.36723)"
920987,3113,21324,,W,CASTILLO,ST,,91364,07/03/0021,,165A107   147,GENERAL,South Valley,O,"(34.1472, -118.59354)"
928936,2133,1410,,S,FEDORA,ST,,90006,08/27/0021,,129B197  1297,GENERAL,South Los Angeles,O,"(34.04602, -118.29747)"
920385,3142,8123,,N,NOBLE,AVE,,91402,07/01/0021,,189B145    31,GENERAL,North Valley,O,"(34.21856, -118.46197)"
920346,2103,2105,,N,RIDGEMONT,DR,,90210,07/01/0021,,150B169   581,GENERAL,West Los Angeles,O,"(34.10859, -118.39086)"
920359,3102,6656,,N,ENSIGN,AVE,,91606,07/01/0021,,180B173   258,GENERAL,South Valley,O,"(34.19181, -118.37148)"
920347,2122,4946,,N,WIOTA,ST,,90041,07/01/0021,,162A229   271,GENERAL,East Los Angeles,O,"(34.13724, -118.19249)"
920329,8130,447,,W,18TH,ST,,90731,06/30/0021,,012B201   574,PACE,Harbor,O,"(33.72776, -118.28679)"
920737,8137,255,1/2,W,14TH,ST,,90731,07/03/0021,,012B201   169,PACE,Harbor,O,"(33.73135, -118.2826)"
920805,2112,10269,,W,CENTURY WOODS,DR,,90025,07/03/0021,,132B161   516,GENERAL,West Los Angeles,O,"(34.05499, -118.41729)"
921029,3123,8702,,W,LA TUNA CANYON,ROAD,,91352,07/04/0021,,198B189   113,GENERAL,North Valley,O,"(34.23729, -118.32238)"
920390,3102,5043,,N,CARTWRIGHT,AVE,,91601,07/01/0021,,171B177  1061,GENERAL,South Valley,O,"(34.16242, -118.36384)"
920681,8130,266,,W,17TH,ST,,90731,07/02/0021,,012B201   471,PACE,Harbor,O,"(33.72887, -118.28284)"
920997,1102,7367,,W,COASTAL VIEW,DR,,90045,07/03/0021,,099B157   636,GENERAL,West Los Angeles,O,"(33.96438, -118.42461)"
933850,3111,22503,,W,CLARENDON,ST,,91367,10/02/0021,,174B101   457,GENERAL,South Valley,O,"(34.16937, -118.61697)"
936358,4400,2131,,W,COLORADO,BLVD,,90041,10/22/0021,,162A223    98,NAR,East Los Angeles,O,"(34.13937, -118.21279)"
921037,1142,3435,,S,PATTON,AVE,,90731,07/04/0021,,009B193   881,GENERAL,Harbor,O,"(33.71735, -118.30539)"
899870,8201,16161,,W,VENTURA,BLVD,,91436,06/24/0020,,168B137   377,SIGNS,South Valley,O,
920731,2101,3113,,N,LA SUVIDA,DR,,90068,07/02/0021,,159B181   302,GENERAL,Central,O,"(34.13246, -118.34123)"
920801,3131,8141,,N,ANDASOL,AVE,,91325,07/03/0021,,189B133    71,GENERAL,South Valley,O,"(34.21831, -118.51105)"
920633,3142,8462,,N,SHARP,AVE,,91352,07/02/0021,,192B165   253,GENERAL,North Valley,O,"(34.22455, -118.40151)"
920342,3204,8417,,N,WILBUR,AVE,,91324,06/30/0021,,192B121   467,GENERAL,North Valley,O,"(34.22322, -118.54506)"
920992,1133,1973,,S,PREUSS,ROAD,,90034,07/03/0021,,126B169   538,GENERAL,South Los Angeles,O,"(34.04224, -118.38612)"
939187,2111,1201,,S,ROXBURY,DR,,90035,11/11/0021,,132A165   191,GENERAL,West Los Angeles,O,"(34.0559, -118.4045)"
920664,2111,153,,S,EDINBURGH,AVE,,90048,07/02/0021,,138B177   708,GENERAL,Central,O,"(34.07259, -118.36381)"
920765,8125,10907,,W,SATICOY,ST,,91352,07/03/0021,,186B173   254,PACE,North Valley,O,"(34.20859, -118.36816)"
920563,2131,4769,,E,BALTIMORE,ST,,90042,07/02/0021,,154-5A223  38,GENERAL,East Los Angeles,O,"(34.11926, -118.21217)"
920248,1101,338,,N,CHAUTAUQUA,BLVD,,90402,06/30/0021,,123B129   554,GENERAL,West Los Angeles,O,"(34.03265, -118.51897)"
920508,3132,21920,,W,PARTHENIA,ST,,91304,07/02/0021,,195B101   478,GENERAL,North Valley,O,"(34.22801, -118.60517)"
920766,8125,10861,,W,SATICOY,ST,,91352,07/03/0021,,186B173   253,PACE,North Valley,O,"(34.20859, -118.36799)"
920634,2122,2423,,W,RIDGEVIEW,AVE,,90041,07/02/0021,,159A221    67,GENERAL,East Los Angeles,O,"(34.13108, -118.2193)"
920727,3102,7337,,N,TUJUNGA,AVE,,91605,07/02/0021,,186B173   870,GENERAL,North Valley,O,"(34.20407, -118.37921)"
920350,2122,400,,N,AVENUE 66,,,90042,07/01/0021,,154-5A233 320,GENERAL,East Los Angeles,O,"(34.11642, -118.17734)"
920360,3142,8015,,N,BRIMFIELD,AVE,,91402,07/01/0021,,189B149   275,GENERAL,North Valley,O,"(34.21642, -118.45783)"
921032,2101,2061,,N,NICHOLS CANYON,ROAD,,90046,07/04/0021,,150B177   147,GENERAL,Central,O,"(34.10829, -118.36138)"
939348,2301,940,,N,ALAMEDA,ST,,90744,11/12/0021,,033B213   754,VEIP,Harbor,O,"(33.78313, -118.24383)"
929094,1121,7017,,S,AVALON,BLVD,,90003,08/28/0021,,102B205   676,GENERAL,South Los Angeles,O,"(33.97565, -118.26535)"
933305,3131,15735,,W,PLUMMER,ST,,91343,09/30/0021,,198B141    17,GENERAL,North Valley,O,"(34.24298, -118.47522)"
928360,2131,5644,,E,ASH,ST,,90042,08/25/0021,,153A227   227,GENERAL,East Los Angeles,O,"(34.11341, -118.19562)"
920355,3132,10422,,N,INDEPENDENCE,AVE,,91311,07/01/0021,,204B109    13,GENERAL,North Valley,O,"(34.25973, -118.59061)"
920671,8130,242,,W,17TH,ST,,90731,07/02/0021,,012B201   475,PACE,Harbor,O,"(33.72887, -118.28232)"
933396,8126,11132,,W,BURTON,ST,,91352,09/30/0021,,192B173   686,PACE,North Valley,O,"(34.22009, -118.37363)"
921021,8137,375,,W,14TH,ST,,90731,07/04/0021,,012B201   149,PACE,Harbor,O,"(33.73136, -118.28513)"
920469,1131,1157,,S,IROLO,ST,,90006,07/02/0021,,129B193   930,GENERAL,Central,O,"(34.04924, -118.30119)"
921082,3303,7255,,N,ATOLL,AVE,,91605,07/04/0021,,186B157   578,VEIP,North Valley,O,"(34.20281, -118.42119)"
933857,1121,655,,E,83RD,ST,,90001,10/02/0021,,099B205  1436,GENERAL,South Los Angeles,O,"(33.96388, -118.26315)"
920736,8137,255,,W,14TH,ST,,90731,07/03/0021,,012B201   169,PACE,Harbor,O,"(33.73135, -118.2826)"
933736,8120,1507,,W,SCOTT,AVE,,90026,10/01/0021,,141A209   345,PACE,East Los Angeles,O,"(34.07968, -118.25455)"
921090,8130,350,,W,17TH,ST,,90731,07/04/0021,,012B201   484,PACE,Harbor,O,"(33.72888, -118.28468)"
933108,3204,6617,,N,MCLENNAN,AVE,,91406,09/29/0021,,180B133   203,CITATIONS,South Valley,O,"(34.19084, -118.50015)"
938833,3111,20328,,W,GRESHAM,ST,,91306,11/10/0021,,195B113   240,GENERAL,North Valley,O,"(34.23066, -118.57648)"
920844,1101,871,,N,FISKE,ST,,90272,07/03/0021,,126B129    84,GENERAL,West Los Angeles,O,"(34.04501, -118.52179)"
920225,2101,6850,,W,CAHUENGA PARK,TR,,90068,06/30/0021,,156A183   120,GENERAL,South Valley,O,"(34.12329, -118.34505)"
928759,2111,9126,,W,HARGIS,ST,,90034,08/26/0021,,123B169   238,GENERAL,South Los Angeles,O,"(34.0363, -118.39157)"
921034,2113,16656,,W,OLDHAM,ST,,91436,07/04/0021,,162B137   187,GENERAL,South Valley,O,"(34.14222, -118.49576)"
920389,3101,12152,,W,MOORPARK,ST,,91604,07/01/0021,,165B165   430,GENERAL,South Valley,O,"(34.15022, -118.39829)"
933971,1112,3661,,S,GRAMERCY,PL,,90018,10/02/0021,,120B189  1494,GENERAL,South Los Angeles,O,"(34.02143, -118.31396)"
933841,2102,4607,,N,WILLOW CREST,AVE,,91602,10/02/0021,,168B177   894,GENERAL,South Valley,O,"(34.1542, -118.36273)"
928399,3142,8718,,N,RANCHITO,AVE,,91402,08/25/0021,,195B153   997,GENERAL,North Valley,O,"(34.2284, -118.43853)"
836639,2123,3600,,N,LOCKE,AVE,,90032,11/30/0018,,144A233   343,GENERAL,East Los Angeles,O,
920344,3101,14205,,W,COHASSET,ST,,91405,07/01/0021,,186B153    87,GENERAL,South Valley,O,"(34.20676, -118.44242)"
920507,3113,4723,,N,DUNAS,LANE,,91356,07/02/0021,,168B125   492,GENERAL,South Valley,O,"(34.15517, -118.52983)"
920767,8125,10841,,W,SATICOY,ST,,91352,07/03/0021,,186B173   247,PACE,North Valley,O,"(34.20859, -118.36733)"
939204,1201,6521,,S,VERMONT,AVE,,90044,11/11/0021,,105B197  1638,CITATIONS,South Los Angeles,O,"(33.97999, -118.29198)"
939283,3142,7830,,N,MORELLA,AVE,,91605,11/12/0021,,189B169   602,GENERAL,North Valley,O,"(34.21287, -118.38983)"
925059,4106,730,,S,VERMONT,AVE,,90005,08/06/0021,,132B197   293,CNAP,Central,O,"(34.05912, -118.29147)"
920470,2203,1555,,N,VERMONT,AVE,,90027,07/02/0021,,147B197   482,CITATIONS,Central,O,"(34.09972, -118.29208)"
920989,1132,4076,,S,HILLCREST,DR,,90008,07/03/0021,,114B181    49,GENERAL,South Los Angeles,O,"(34.01188, -118.34823)"
904857,3113,6451,,N,LUBAO,AVE,,91367,03/06/0021,,180B113   714,GENERAL,South Valley,O,
933179,2103,9029,,W,ST IVES,DR,,90069,09/29/0021,,144B169   271,GENERAL,Central,O,"(34.09324, -118.38925)"
921031,1142,1804,,S,MEYLER,ST,,90731,07/04/0021,,012B197   766,GENERAL,Harbor,O,"(33.72754, -118.29664)"
933572,1121,8920,,S,AVALON,BLVD,,90002,10/01/0021,,094-5A207  46,GENERAL,South Los Angeles,O,"(33.95489, -118.26492)"
933837,3111,5630,,N,LE SAGE,AVE,,91367,10/02/0021,,174B093   300,GENERAL,South Valley,O,"(34.17319, -118.64162)"
920598,2122,6126,,E,SPRINGVALE,DR,,90042,07/02/0021,,156A231    70,GENERAL,East Los Angeles,O,"(34.12335, -118.1866)"
933918,8121,3028,,W,GLENHURST,AVE,,90039,10/02/0021,,151-5A211 139,PACE,East Los Angeles,O,"(34.11021, -118.25376)"
920349,2142,5401,,W,SANTA MONICA,BLVD,,90029,07/01/0021,,144B193   698,GENERAL,Central,O,"(34.09093, -118.30729)"
920361,3111,21012,,W,ROSCOE,BLVD,,91304,07/01/0021,,192B105   601,GENERAL,South Valley,O,"(34.21966, -118.59114)"
928901,2143,3038,,W,CASITAS,AVE,,90039,08/27/0021,,153B209  1108,GENERAL,East Los Angeles,O,"(34.11229, -118.24788)"
920728,1142,138,,N,CABRILLO,AVE,,90731,07/02/0021,,018B197   997,GENERAL,Harbor,O,"(33.74394, -118.29436)"
920985,1142,1700,,S,MANTIS,AVE,,90732,07/03/0021,,012B189    58,GENERAL,Harbor,O,"(33.72933, -118.3143)"
920669,8130,236,,W,17TH,ST,,90731,07/02/0021,,012B201   476,PACE,Harbor,O,"(33.72887, -118.28218)"
925057,2122,4624,,N,COLLEGE VIEW,AVE,,90041,08/06/0021,,159A221   132,GENERAL,East Los Angeles,O,"(34.13069, -118.22024)"
925058,2301,4075,,S,LINCOLN,BLVD,,90292,08/06/0021,,108B149  1588,VEIP,West Los Angeles,O,"(33.98863, -118.4463)"
921000,8137,332,,W,14TH,ST,,90731,07/04/0021,,012B201    97,PACE,Harbor,O,"(33.73162, -118.28421)"
920733,1201,12711,,W,WASHINGTON,PL,,90066,07/03/0021,,111B153  1169,CITATIONS,West Los Angeles,O,"(33.99717, -118.4352)"
920846,8126,8821,,N,REMICK,AVE,,91352,07/03/0021,,195B165   490,PACE,North Valley,O,"(34.22965, -118.40443)"
933395,8126,11054,,W,BURTON,ST,,91352,09/30/0021,,192B173   694,PACE,North Valley,O,"(34.22009, -118.37211)"
928814,2121,1143,,S,WALL,ST,,90015,08/27/0021,,124-5A209 139,GENERAL,Central,O,"(34.03552, -118.25516)"
929316,3111,7020,,N,INDEPENDENCE,AVE,,91303,08/29/0021,,183B109   437,GENERAL,South Valley,O,"(34.19791, -118.59045)"
928501,2130,2934,,N,NORTH BROADWAY,,,90031,08/26/0021,,138A223    74,GENERAL,East Los Angeles,O,"(34.07355, -118.21056)"
920357,2122,4714,,N,ROUND TOP,DR,,90065,07/01/0021,,160-5A217 173,GENERAL,East Los Angeles,O,"(34.13373, -118.22867)"
920745,8137,275,,W,14TH,ST,,90731,07/03/0021,,012B201   167,PACE,Harbor,O,"(33.73135, -118.28283)"
920803,2130,3103,,N,EVA,TER,,90031,07/03/0021,,141A227   154,GENERAL,East Los Angeles,O,"(34.08168, -118.20018)"
920990,3113,5326,,N,CAMPO,ROAD,,91364,07/03/0021,,171B105   205,GENERAL,South Valley,O,"(34.16687, -118.59817)"
920438,3143,6718,,N,ANDASOL,AVE,,91406,07/01/0021,,180B133    96,GENERAL,South Valley,O,"(34.19237, -118.51189)"
933454,8126,8209,,N,CASE,AVE,,91352,09/30/0021,,192B173   741,PACE,North Valley,O,"(34.21972, -118.37265)"
929191,1101,1531,,N,TIGERTAIL,ROAD,,90049,08/28/0021,,141B137    48,GENERAL,West Los Angeles,O,"(34.08298, -118.48812)"
928819,2121,1139,,S,WALL,ST,,90015,08/27/0021,,124-5A209 130,GENERAL,Central,O,"(34.03562, -118.25507)"
933085,3121,13548,,W,WEIDNER,ST,,91331,09/29/0021,,210B157   753,GENERAL,North Valley,O,"(34.26951, -118.42807)"
929011,2121,2325,,E,JESSE,ST,,90023,08/27/0021,,124-5A219  45,GENERAL,East Los Angeles,O,"(34.0369, -118.22235)"
920515,8126,8728,,N,SHARP,AVE,,91352,07/02/0021,,195B165   629,PACE,North Valley,O,"(34.22834, -118.40548)"
905148,3121,10432,,N,CAYUGA,AVE,,91331,03/10/0021,,207B157  1235,GENERAL,North Valley,O,
920810,3111,22262,,W,SCHOOLCRAFT,ST,,91303,07/03/0021,,183B101   568,GENERAL,South Valley,O,"(34.19591, -118.61213)"
920353,3132,11444,,N,GERALD,AVE,,91344,07/01/0021,,213B137   641,GENERAL,North Valley,O,"(34.27881, -118.49426)"
920999,1142,690,,W,PASEO DEL MAR,,,90731,07/04/0021,,003B197    99,GENERAL,Harbor,O,"(33.70616, -118.29165)"
920315,2122,2361,,W,HILL,DR,,90041,06/30/0021,,163-5A221  60,GENERAL,East Los Angeles,O,"(34.14364, -118.21717)"
928690,8120,2130,,N,ECHO PARK,AVE,,90026,08/26/0021,,144A211    87,PACE,East Los Angeles,O,"(34.09017, -118.24971)"
921105,3142,8247,,N,BRIMFIELD,AVE,,91402,07/04/0021,,192B145   442,GENERAL,North Valley,O,"(34.22113, -118.45903)"
920988,3113,20971,,W,BANDERA,ST,,91364,07/03/0021,,168A109   196,GENERAL,South Valley,O,"(34.15273, -118.59025)"
928320,8131,1433,,S,CENTRE,ST,,90731,08/25/0021,,012B201   253,PACE,Harbor,O,"(33.73081, -118.2837)"
933576,3101,4347,,N,WHITSETT,AVE,,91604,10/01/0021,,165B165   453,GENERAL,South Valley,O,"(34.14998, -118.40539)"
938958,1131,1354,,S,HAUSER,BLVD,,90019,11/11/0021,,129B177   766,GENERAL,Central,O,"(34.04969, -118.35621)"
920362,3111,21012,,W,ROSCOE,BLVD,,91304,07/01/0021,,192B105   601,GENERAL,South Valley,O,"(34.21966, -118.59114)"
921030,3123,9321,,,GLORY,AVE,,91042,07/04/0021,,198B201   362,GENERAL,North Valley,O,
920471,2122,1016,,N,AVENUE 57,,,90042,07/02/0021,,156A229   305,GENERAL,East Los Angeles,O,"(34.12137, -118.19329)"
925063,3303,5554,,N,CASE,AVE,,91601,08/06/0021,,174B173  1042,VEIP,South Valley,O,"(34.17168, -118.37183)"
920763,8125,10931,,W,SATICOY,ST,,91352,07/03/0021,,186B173   206,PACE,North Valley,O,"(34.20859, -118.36896)"
939203,3132,9601,,N,ANDORA,AVE,,91311,11/11/0021,,201B097   118,GENERAL,North Valley,O,"(34.24555, -118.62502)"
